,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,5.3500000000000005,30.99999999999998,8.5,0.0
0,0.0,1.0,-0.6100000000000021,25.299999999999997,,1.0
0,0.0,2.0,-4.42,3.9,,1.0
0,0.0,3.0,-0.9100000000000046,24.0,,1.0
0,0.0,4.0,-4.3999999999999995,3.9,,1.0
0,0.0,5.0,-4.22,4.999999999999999,,1.0
0,0.0,6.0,5.340000000000001,30.999999999999968,8.6,0.0
0,0.0,7.0,5.429999999999999,30.899999999999988,7.5,0.0
0,0.0,8.0,5.5200000000000005,31.299999999999983,7.4,0.0
0,0.0,9.0,5.449999999999999,30.899999999999977,7.3,0.0
0,0.0,10.0,5.47,30.999999999999986,7.3,0.0
0,0.0,11.0,5.509999999999999,31.199999999999985,7.3,0.0
0,0.0,12.0,5.499999999999999,31.19999999999999,7.4,0.0
0,0.0,13.0,5.489999999999998,31.099999999999984,7.3,0.0
0,0.0,14.0,5.53,31.29999999999998,7.3,0.0
0,0.0,15.0,5.449999999999999,30.89999999999998,7.3,0.0
0,0.0,16.0,-3.55,8.700000000000001,,1.0
0,0.0,17.0,-0.8000000000000034,23.899999999999995,,1.0
0,0.0,18.0,-4.45,3.5000000000000004,,1.0
0,0.0,19.0,5.489999999999999,31.099999999999977,7.3,0.0
0,0.0,20.0,5.549999999999999,31.299999999999986,7.1,0.0
0,0.0,21.0,5.479999999999999,30.89999999999999,7.0,0.0
0,0.0,22.0,5.529999999999999,31.199999999999974,7.1,0.0
0,0.0,23.0,-3.7399999999999993,7.4,,1.0
0,0.0,24.0,5.459999999999996,30.899999999999984,7.2,0.0
0,0.0,25.0,-3.6599999999999993,8.000000000000002,,1.0
0,0.0,26.0,5.499999999999998,30.899999999999988,6.8,0.0
0,0.0,27.0,5.5699999999999985,31.299999999999997,6.9,0.0
0,0.0,28.0,-0.5700000000000012,24.999999999999993,,1.0
0,0.0,29.0,-1.3700000000000028,20.7,,1.0
0,0.0,30.0,-3.099999999999999,11.100000000000003,,1.0
0,0.0,31.0,-1.6200000000000019,19.500000000000007,,1.0
0,0.0,32.0,-3.2799999999999994,10.000000000000004,,1.0
0,0.0,33.0,-0.270000000000004,27.299999999999997,,1.0
0,0.0,34.0,-2.050000000000002,17.00000000000001,,1.0
0,0.0,35.0,-4.34,4.1,,1.0
0,0.0,36.0,-1.3600000000000039,21.700000000000014,,1.0
0,0.0,37.0,5.379999999999997,31.09999999999999,8.4,0.0
0,0.0,38.0,5.369999999999997,30.899999999999995,8.1,0.0
0,0.0,39.0,5.430000000000001,30.999999999999975,7.7,0.0
0,0.0,40.0,5.2999999999999945,30.90000000000001,8.8,0.0
0,0.0,41.0,5.4499999999999975,31.29999999999999,8.1,0.0
0,0.0,42.0,5.41,30.999999999999982,7.9,0.0
0,0.0,43.0,5.349999999999996,30.899999999999995,8.3,0.0
0,0.0,44.0,5.509999999999997,31.299999999999994,7.5,0.0
0,0.0,45.0,5.479999999999998,31.09999999999998,7.4,0.0
0,0.0,46.0,5.4700000000000015,31.19999999999997,7.7,0.0
0,0.0,47.0,5.399999999999999,30.9,7.8,0.0
0,0.0,48.0,5.449999999999998,30.899999999999995,7.3,0.0
0,0.0,49.0,5.429999999999997,30.999999999999982,7.7,0.0
0,0.0,50.0,5.539999999999996,31.29999999999999,7.2,0.0
0,0.0,51.0,5.4799999999999995,31.09999999999999,7.4,0.0
0,0.0,52.0,5.509999999999997,31.19999999999999,7.3,0.0
0,0.0,53.0,5.509999999999998,31.199999999999992,7.3,0.0
0,0.0,54.0,5.499999999999998,31.099999999999994,7.2,0.0
0,0.0,55.0,5.509999999999997,31.099999999999977,7.1,0.0
0,0.0,56.0,5.510000000000002,31.099999999999973,7.1,0.0
0,0.0,57.0,5.519999999999999,31.19999999999999,7.2,0.0
0,0.0,58.0,5.47,30.89999999999999,7.1,0.0
0,0.0,59.0,5.4999999999999964,30.999999999999996,7.0,0.0
0,0.0,60.0,5.4899999999999975,30.99999999999999,7.1,0.0
0,0.0,61.0,5.509999999999998,31.19999999999998,7.3,0.0
0,0.0,62.0,5.489999999999998,31.0,7.1,0.0
0,0.0,63.0,5.479999999999998,30.9,7.0,0.0
0,0.0,64.0,5.499999999999998,30.999999999999993,7.0,0.0
0,0.0,65.0,5.479999999999998,30.9,7.0,0.0
0,0.0,66.0,5.509999999999997,31.099999999999998,7.1,0.0
0,0.0,67.0,5.4899999999999975,30.899999999999984,6.9,0.0
0,0.0,68.0,5.499999999999997,30.999999999999986,7.0,0.0
0,0.0,69.0,5.549999999999999,31.29999999999998,7.1,0.0
0,0.0,70.0,5.509999999999996,30.999999999999993,6.9,0.0
0,0.0,71.0,5.539999999999999,31.199999999999974,7.0,0.0
0,0.0,72.0,5.499999999999998,30.89999999999999,6.8,0.0
0,0.0,73.0,5.549999999999998,31.199999999999985,6.9,0.0
0,0.0,74.0,5.579999999999997,31.299999999999997,6.8,0.0
0,0.0,75.0,5.519999999999996,31.0,6.8,0.0
0,0.0,76.0,5.549999999999997,31.199999999999992,6.9,0.0
0,0.0,77.0,5.499999999999999,30.899999999999988,6.8,0.0
0,0.0,78.0,5.509999999999997,30.89999999999999,6.7,0.0
0,0.0,79.0,5.519999999999996,30.999999999999993,6.8,0.0
0,0.0,80.0,5.569999999999997,31.199999999999996,6.7,0.0
0,0.0,81.0,5.529999999999997,31.0,6.7,0.0
0,0.0,82.0,5.539999999999997,31.09999999999999,6.8,0.0
0,0.0,83.0,5.589999999999996,31.299999999999997,6.7,0.0
0,0.0,84.0,5.5799999999999965,31.3,6.8,0.0
0,0.0,85.0,5.589999999999996,31.299999999999997,6.7,0.0
0,0.0,86.0,5.549999999999996,31.1,6.7,0.0
0,0.0,87.0,5.519999999999997,30.899999999999995,6.6,0.0
0,0.0,88.0,5.549999999999996,31.099999999999994,6.7,0.0
0,0.0,89.0,5.509999999999996,30.89999999999999,6.7,0.0
0,0.0,90.0,5.559999999999996,31.099999999999998,6.6,0.0
0,0.0,91.0,5.519999999999997,30.899999999999995,6.6,0.0
0,0.0,92.0,5.549999999999997,31.09999999999999,6.7,0.0
0,0.0,93.0,5.539999999999997,30.999999999999996,6.6,0.0
0,0.0,94.0,5.539999999999996,31.0,6.6,0.0
0,0.0,95.0,5.549999999999996,31.099999999999994,6.7,0.0
0,0.0,96.0,5.549999999999997,31.09999999999999,6.7,0.0
0,0.0,97.0,5.519999999999997,30.89999999999999,6.6,0.0
0,0.0,98.0,5.549999999999997,31.099999999999994,6.7,0.0
0,0.0,99.0,5.489999999999997,30.800000000000004,6.7,0.0
