,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,7.285000000000002,30.900000000000002,8.8,0.0
0,0.0,1.0,7.360000000000001,31.2,8.8,0.0
0,0.0,2.0,7.385000000000001,31.300000000000004,8.8,0.0
0,0.0,3.0,7.375000000000002,31.3,9.0,0.0
0,0.0,4.0,-6.890000000000001,13.500000000000002,,1.0
0,0.0,5.0,7.285,30.900000000000002,8.8,0.0
0,0.0,6.0,7.410000000000002,31.4,8.8,0.0
0,0.0,7.0,7.250000000000002,30.800000000000004,9.0,0.0
0,0.0,8.0,-4.740000000000001,22.400000000000002,,1.0
0,0.0,9.0,-5.655,18.499999999999996,,1.0
0,0.0,10.0,-5.545,19.099999999999998,,1.0
0,0.0,11.0,-3.879999999999998,26.399999999999995,,1.0
0,0.0,12.0,7.360000000000002,31.19999999999999,8.8,0.0
0,0.0,13.0,-5.2,20.899999999999995,,1.0
0,0.0,14.0,7.360000000000001,31.199999999999996,8.8,0.0
0,0.0,15.0,7.375000000000002,31.299999999999997,9.0,0.0
0,0.0,16.0,-3.309999999999998,28.899999999999995,,1.0
0,0.0,17.0,7.3599999999999985,31.2,8.8,0.0
0,0.0,18.0,-3.879999999999999,26.200000000000003,,1.0
0,0.0,19.0,7.335000000000001,31.1,8.8,0.0
0,0.0,20.0,7.349999999999999,31.200000000000003,9.0,0.0
0,0.0,21.0,7.310000000000002,30.999999999999996,8.8,0.0
0,0.0,22.0,7.41,31.399999999999995,8.8,0.0
0,0.0,23.0,7.450000000000002,31.599999999999994,9.0,0.0
0,0.0,24.0,7.385000000000003,31.299999999999994,8.8,0.0
0,0.0,25.0,7.335000000000003,31.099999999999998,8.8,0.0
0,0.0,26.0,7.410000000000001,31.400000000000002,8.8,0.0
0,0.0,27.0,7.465000000000001,31.699999999999992,9.2,0.0
0,0.0,28.0,7.310000000000004,31.0,8.8,0.0
0,0.0,29.0,7.285000000000004,30.9,8.8,0.0
0,0.0,30.0,7.350000000000001,31.2,9.0,0.0
0,0.0,31.0,7.460000000000003,31.599999999999994,8.8,0.0
0,0.0,32.0,-9.22,3.7,,1.0
0,0.0,33.0,7.32,30.999999999999996,8.600000000000001,0.0
0,0.0,34.0,7.285000000000002,30.89999999999999,8.8,0.0
0,0.0,35.0,7.36,31.200000000000003,8.8,0.0
0,0.0,36.0,7.335000000000001,31.099999999999998,8.8,0.0
0,0.0,37.0,-5.404999999999999,19.9,,1.0
0,0.0,38.0,7.335000000000002,31.099999999999998,8.8,0.0
0,0.0,39.0,7.400000000000003,31.400000000000002,9.0,0.0
0,0.0,40.0,7.320000000000003,31.0,8.600000000000001,0.0
0,0.0,41.0,-3.994999999999999,25.799999999999997,,1.0
0,0.0,42.0,-5.825,18.199999999999996,,1.0
0,0.0,43.0,7.395000000000001,31.299999999999994,8.600000000000001,0.0
0,0.0,44.0,7.375000000000001,31.300000000000004,9.0,0.0
0,0.0,45.0,7.400000000000002,31.4,9.0,0.0
0,0.0,46.0,7.425000000000002,31.5,9.0,0.0
0,0.0,47.0,-9.235,3.6000000000000005,,1.0
0,0.0,48.0,-6.52,15.099999999999998,,1.0
0,0.0,49.0,7.320000000000001,31.0,8.600000000000001,0.0
0,0.0,50.0,7.360000000000002,31.200000000000006,8.8,0.0
0,0.0,51.0,7.360000000000002,31.200000000000003,8.8,0.0
0,0.0,52.0,-7.305,11.999999999999996,,1.0
0,0.0,53.0,-5.25,20.199999999999996,,1.0
0,0.0,54.0,7.365000000000001,31.3,9.2,0.0
0,0.0,55.0,7.384999999999999,31.300000000000004,8.8,0.0
0,0.0,56.0,7.360000000000002,31.2,8.8,0.0
0,0.0,57.0,7.2700000000000005,30.800000000000004,8.600000000000001,0.0
0,0.0,58.0,7.3500000000000005,31.200000000000003,9.0,0.0
0,0.0,59.0,7.295000000000002,30.90000000000001,8.600000000000001,0.0
0,0.0,60.0,-4.02,25.799999999999997,,1.0
0,0.0,61.0,-7.824999999999999,9.700000000000001,,1.0
0,0.0,62.0,-9.54,2.4,,1.0
0,0.0,63.0,7.275,30.899999999999995,9.0,0.0
0,0.0,64.0,7.475000000000001,31.700000000000003,9.0,0.0
0,0.0,65.0,7.360000000000002,31.2,8.8,0.0
0,0.0,66.0,-9.209999999999999,3.900000000000001,,1.0
0,0.0,67.0,7.335000000000003,31.1,8.8,0.0
0,0.0,68.0,-4.095000000000001,25.600000000000005,,1.0
0,0.0,69.0,7.2950000000000035,30.900000000000002,8.600000000000001,0.0
0,0.0,70.0,7.410000000000002,31.399999999999995,8.8,0.0
0,0.0,71.0,-8.459999999999999,7.000000000000001,,1.0
0,0.0,72.0,-9.07,4.200000000000001,,1.0
0,0.0,73.0,7.375000000000002,31.300000000000004,9.0,0.0
