,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,64.71999999999954,237.30000000000084,64.7,0.0
0,0.0,1.0,64.62999999999958,237.20000000000127,65.3,0.0
0,0.0,2.0,64.63999999999945,237.30000000000246,65.5,0.0
0,0.0,3.0,10.840000000000002,46.999999999999915,,1.0
0,0.0,4.0,64.49999999999943,237.00000000000304,66.0,0.0
0,0.0,5.0,64.60999999999966,237.1000000000021,65.2,0.0
0,0.0,6.0,64.6299999999994,237.20000000000306,65.3,0.0
0,0.0,7.0,32.50999999999978,126.80000000000007,,1.0
0,0.0,8.0,42.47999999999992,163.30000000000038,,1.0
0,0.0,9.0,64.69999999999968,237.20000000000178,64.6,0.0
0,0.0,10.0,64.56999999999942,237.10000000000247,65.6,0.0
0,0.0,11.0,40.66999999999966,156.7000000000009,,1.0
0,0.0,12.0,20.359999999999893,82.6999999999998,,1.0
0,0.0,13.0,64.72999999999954,237.20000000000078,64.3,0.0
0,0.0,14.0,64.69999999999959,237.4000000000015,65.2,0.0
0,0.0,15.0,36.81999999999978,141.80000000000047,,1.0
0,0.0,16.0,57.249999999999645,217.20000000000226,,1.0
0,0.0,17.0,23.80999999999983,95.49999999999974,,1.0
0,0.0,18.0,64.61999999999958,237.10000000000144,65.1,0.0
0,0.0,19.0,64.61999999999955,237.2000000000031,65.4,0.0
0,0.0,20.0,64.58999999999948,237.20000000000317,65.7,0.0
0,0.0,21.0,64.67999999999947,237.10000000000264,64.5,0.0
0,0.0,22.0,64.60999999999949,237.20000000000206,65.5,0.0
0,0.0,23.0,64.66999999999953,237.30000000000175,65.2,0.0
0,0.0,24.0,12.899999999999997,54.899999999999835,,1.0
0,0.0,25.0,64.6799999999996,237.20000000000118,64.8,0.0
0,0.0,26.0,64.62999999999954,237.20000000000158,65.3,0.0
0,0.0,27.0,57.869999999999635,219.80000000000058,,1.0
0,0.0,28.0,64.60999999999947,237.10000000000244,65.2,0.0
0,0.0,29.0,1.740000000000001,14.100000000000014,,1.0
0,0.0,30.0,46.62999999999985,178.30000000000064,,1.0
0,0.0,31.0,18.739999999999963,75.79999999999995,,1.0
0,0.0,32.0,0.6499999999999995,9.700000000000001,,1.0
0,0.0,33.0,1.4400000000000004,13.000000000000004,,1.0
0,0.0,34.0,31.029999999999752,121.99999999999979,,1.0
0,0.0,35.0,31.659999999999926,122.9000000000003,,1.0
0,0.0,36.0,64.71999999999956,237.20000000000073,64.4,0.0
0,0.0,37.0,64.66999999999956,237.10000000000096,64.6,0.0
0,0.0,38.0,64.55999999999943,237.00000000000264,65.4,0.0
0,0.0,39.0,60.57999999999955,229.90000000000288,,1.0
0,0.0,40.0,8.310000000000008,37.99999999999997,,1.0
0,0.0,41.0,53.46999999999964,203.20000000000203,,1.0
0,0.0,42.0,13.509999999999994,56.699999999999896,,1.0
0,0.0,43.0,64.64999999999948,237.2000000000023,65.1,0.0
0,0.0,44.0,20.26999999999995,81.09999999999998,,1.0
0,0.0,45.0,64.64999999999954,237.20000000000158,65.1,0.0
0,0.0,46.0,25.339999999999943,99.2000000000001,,1.0
0,0.0,47.0,35.95999999999975,139.00000000000037,,1.0
0,0.0,48.0,14.489999999999998,61.19999999999981,,1.0
0,0.0,49.0,21.809999999999967,86.89999999999998,,1.0
