,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,42.64000000000029,237.10000000000005,47.8,0.0
0,0.0,1.0,42.66000000000029,237.19999999999996,47.8,0.0
0,0.0,2.0,42.66000000000032,237.20000000000007,47.8,0.0
0,0.0,3.0,42.65000000000027,237.19999999999996,47.9,0.0
0,0.0,4.0,42.68000000000031,237.30000000000007,47.8,0.0
0,0.0,5.0,42.690000000000275,237.40000000000012,47.9,0.0
0,0.0,6.0,42.66000000000031,237.2000000000002,47.8,0.0
0,0.0,7.0,42.62000000000026,237.00000000000006,47.8,0.0
0,0.0,8.0,42.680000000000305,237.3,47.8,0.0
0,0.0,9.0,42.68000000000031,237.4000000000002,48.0,0.0
0,0.0,10.0,42.67000000000031,237.2000000000001,47.7,0.0
