,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,0.0,30.899999999999938,8.0,0.0
0,0.0,1.0,0.0,30.999999999999932,8.0,0.0
0,0.0,2.0,0.0,30.89999999999993,7.95,0.0
0,0.0,3.0,0.0,30.89999999999993,8.0,0.0
0,0.0,4.0,0.0,30.999999999999932,8.0,0.0
0,0.0,5.0,0.0,30.89999999999993,8.0,0.0
0,0.0,6.0,0.0,30.999999999999932,7.9,0.0
0,0.0,7.0,0.0,30.99999999999993,8.05,0.0
0,0.0,8.0,0.0,30.999999999999932,7.95,0.0
0,0.0,9.0,0.0,30.999999999999932,8.0,0.0
0,0.0,10.0,0.0,30.899999999999935,8.05,0.0
