,run,episode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,0.0,0.0,42.57000000000031,237.20000000000016,48.7,0.0
0,0.0,1.0,42.620000000000296,237.29999999999995,48.4,0.0
0,0.0,2.0,42.530000000000314,237.00000000000026,48.7,0.0
0,0.0,3.0,42.580000000000325,237.10000000000016,48.4,0.0
0,0.0,4.0,42.62000000000028,237.39999999999995,48.6,0.0
0,0.0,5.0,42.590000000000316,237.3000000000002,48.7,0.0
0,0.0,6.0,42.5700000000003,237.19999999999996,48.7,0.0
0,0.0,7.0,42.57000000000027,237.10000000000008,48.5,0.0
0,0.0,8.0,42.5400000000003,237.00000000000017,48.6,0.0
0,0.0,9.0,42.59000000000028,237.30000000000018,48.7,0.0
0,1.0,0.0,42.63000000000032,237.30000000000015,48.3,0.0
0,1.0,1.0,42.57000000000032,237.00000000000009,48.3,0.0
0,1.0,2.0,42.59000000000029,237.10000000000014,48.3,0.0
0,1.0,3.0,42.62000000000034,237.30000000000007,48.4,0.0
0,1.0,4.0,42.63000000000027,237.30000000000013,48.3,0.0
0,1.0,5.0,42.630000000000315,237.20000000000007,48.1,0.0
0,1.0,6.0,42.63000000000025,237.30000000000013,48.3,0.0
0,1.0,7.0,42.610000000000305,237.10000000000014,48.1,0.0
0,1.0,8.0,42.62000000000033,237.40000000000012,48.6,0.0
0,1.0,9.0,42.620000000000346,237.20000000000013,48.2,0.0
0,2.0,0.0,30.600000000000094,199.2000000000005,,1.0
0,2.0,1.0,21.940000000000005,151.30000000000032,,1.0
0,2.0,2.0,6.919999999999998,67.29999999999997,,1.0
0,2.0,3.0,42.45000000000024,237.1000000000003,49.7,0.0
0,2.0,4.0,5.6299999999999955,59.999999999999964,,1.0
0,2.0,5.0,4.739999999999998,54.799999999999976,,1.0
0,2.0,6.0,1.0299999999999958,34.19999999999998,,1.0
0,2.0,7.0,1.2799999999999967,35.59999999999999,,1.0
0,2.0,8.0,31.09000000000011,202.40000000000055,,1.0
0,2.0,9.0,42.49000000000023,237.30000000000044,49.7,0.0
0,3.0,0.0,42.60000000000024,237.10000000000008,48.2,0.0
0,3.0,1.0,42.60000000000027,237.3000000000001,48.6,0.0
0,3.0,2.0,42.560000000000294,237.0000000000001,48.4,0.0
0,3.0,3.0,42.6300000000003,237.20000000000002,48.1,0.0
0,3.0,4.0,42.54000000000029,237.0000000000001,48.6,0.0
0,3.0,5.0,42.62000000000023,237.00000000000006,47.8,0.0
0,3.0,6.0,42.58000000000027,237.00000000000014,48.2,0.0
0,3.0,7.0,42.610000000000305,237.50000000000017,48.9,0.0
0,3.0,8.0,42.600000000000314,237.2000000000001,48.4,0.0
0,3.0,9.0,42.630000000000315,237.40000000000012,48.5,0.0
0,4.0,0.0,42.54000000000021,237.20000000000005,49.0,0.0
0,4.0,1.0,42.5700000000002,237.30000000000032,48.9,0.0
0,4.0,2.0,42.550000000000175,237.3000000000001,49.1,0.0
0,4.0,3.0,29.870000000000047,194.80000000000024,,1.0
0,4.0,4.0,42.52000000000024,237.10000000000034,49.0,0.0
0,4.0,5.0,42.570000000000256,237.30000000000024,48.9,0.0
0,4.0,6.0,42.48000000000021,237.0000000000003,49.2,0.0
0,4.0,7.0,42.56000000000026,237.4000000000002,49.2,0.0
0,4.0,8.0,42.54000000000025,237.10000000000028,48.8,0.0
0,4.0,9.0,42.560000000000244,237.1000000000001,48.6,0.0
