,run,episodes,Crash,Reward,Progress,Lap time
0,0,0,False,8.979999999999999,31.299999999999983,8.200000000000003
1,0,1,False,9.090000000000002,31.69999999999999,8.400000000000002
2,0,2,False,8.95,31.200000000000006,8.200000000000003
3,0,3,False,9.040000000000001,31.499999999999986,8.200000000000003
4,0,4,False,8.920000000000002,31.1,8.200000000000003
5,0,5,False,9.030000000000001,31.500000000000007,8.400000000000002
6,0,6,False,9.09,31.7,8.400000000000002
7,0,7,False,8.95,31.19999999999999,8.200000000000003
8,0,8,False,8.92,31.099999999999987,8.200000000000003
9,0,9,False,8.92,31.099999999999994,8.200000000000003
10,0,10,False,8.920000000000003,31.1,8.200000000000003
11,0,11,False,8.92,31.1,8.200000000000003
12,0,12,False,8.920000000000002,31.099999999999987,8.200000000000003
13,0,13,False,8.92,31.099999999999987,8.200000000000003
14,0,14,False,9.060000000000002,31.59999999999999,8.400000000000002
15,0,15,False,9.120000000000003,31.8,8.400000000000002
16,0,16,False,8.89,30.99999999999999,8.200000000000003
17,0,17,False,9.010000000000002,31.400000000000006,8.200000000000003
18,0,18,False,8.890000000000002,31.0,8.200000000000003
19,0,19,False,9.010000000000002,31.400000000000002,8.200000000000003
20,0,20,False,8.92,31.09999999999999,8.200000000000003
21,0,21,False,8.950000000000003,31.200000000000006,8.200000000000003
22,0,22,False,9.059999999999999,31.600000000000005,8.400000000000002
23,0,23,False,8.890000000000004,30.999999999999993,8.200000000000003
24,0,24,False,9.059999999999999,31.6,8.400000000000002
25,0,25,False,8.979999999999999,31.299999999999997,8.200000000000003
26,0,26,False,8.950000000000001,31.2,8.200000000000003
27,0,27,False,8.950000000000001,31.199999999999992,8.200000000000003
28,0,28,False,9.060000000000002,31.599999999999998,8.400000000000002
29,0,29,False,9.06,31.599999999999994,8.400000000000002
30,0,30,False,8.92,31.100000000000005,8.200000000000003
31,0,31,False,8.89,30.999999999999996,8.200000000000003
32,0,32,False,8.920000000000002,31.1,8.200000000000003
33,0,33,False,9.030000000000003,31.499999999999996,8.400000000000002
34,0,34,False,8.980000000000002,31.299999999999986,8.200000000000003
35,0,35,False,8.890000000000002,31.000000000000007,8.200000000000003
36,0,36,False,8.970000000000002,31.3,8.400000000000002
37,0,37,False,8.920000000000002,31.1,8.200000000000003
38,0,38,False,8.950000000000003,31.200000000000006,8.200000000000003
39,0,39,False,8.890000000000002,30.999999999999996,8.200000000000003
40,0,40,False,8.89,31.0,8.200000000000003
41,0,41,False,9.090000000000002,31.700000000000003,8.400000000000002
42,0,42,False,8.98,31.29999999999999,8.200000000000003
43,0,43,False,8.89,30.99999999999999,8.200000000000003
44,0,44,False,8.890000000000002,30.999999999999996,8.200000000000003
45,0,45,False,9.060000000000004,31.599999999999994,8.400000000000002
46,0,46,False,9.060000000000002,31.599999999999998,8.400000000000002
47,0,47,False,8.950000000000001,31.199999999999992,8.200000000000003
48,0,48,False,8.920000000000003,31.09999999999999,8.200000000000003
49,0,49,False,8.95,31.200000000000003,8.200000000000003
50,0,50,False,9.060000000000002,31.599999999999998,8.400000000000002
51,0,51,False,9.06,31.59999999999999,8.400000000000002
52,0,52,False,9.01,31.400000000000002,8.200000000000003
53,0,53,False,8.889999999999997,31.0,8.200000000000003
54,0,54,False,8.95,31.199999999999992,8.200000000000003
55,0,55,False,8.98,31.300000000000004,8.200000000000003
56,0,56,False,8.980000000000002,31.299999999999986,8.200000000000003
57,0,57,False,8.860000000000001,30.900000000000006,8.200000000000003
58,0,58,False,8.920000000000003,31.100000000000005,8.200000000000003
59,0,59,False,8.979999999999999,31.300000000000004,8.200000000000003
60,0,60,False,8.920000000000002,31.09999999999999,8.200000000000003
61,0,61,False,8.92,31.099999999999994,8.200000000000003
62,0,62,False,8.890000000000002,30.999999999999993,8.200000000000003
63,0,63,False,8.920000000000002,31.099999999999998,8.200000000000003
64,0,64,False,8.980000000000002,31.300000000000008,8.200000000000003
65,0,65,False,8.98,31.29999999999999,8.200000000000003
66,0,66,False,8.890000000000002,30.999999999999993,8.200000000000003
67,0,67,False,8.969999999999999,31.3,8.400000000000002
68,0,68,False,8.920000000000002,31.09999999999999,8.200000000000003
69,0,69,False,8.980000000000002,31.300000000000008,8.200000000000003
70,0,70,False,9.120000000000003,31.79999999999999,8.400000000000002
71,0,71,False,8.980000000000002,31.299999999999997,8.200000000000003
72,0,72,False,8.890000000000002,30.999999999999993,8.200000000000003
73,0,73,False,9.06,31.599999999999994,8.400000000000002
74,0,74,False,9.120000000000001,31.79999999999999,8.400000000000002
75,0,75,False,8.89,30.99999999999999,8.200000000000003
76,0,76,False,8.95,31.199999999999992,8.200000000000003
77,0,77,False,8.890000000000004,30.999999999999993,8.200000000000003
78,0,78,False,8.920000000000002,31.099999999999987,8.200000000000003
79,0,79,False,8.980000000000004,31.300000000000004,8.200000000000003
80,0,80,False,9.06,31.59999999999999,8.400000000000002
81,0,81,False,8.980000000000002,31.300000000000008,8.200000000000003
82,0,82,False,9.03,31.49999999999999,8.400000000000002
83,0,83,False,8.950000000000003,31.200000000000003,8.200000000000003
84,0,84,False,8.89,30.99999999999999,8.200000000000003
85,0,85,False,8.920000000000002,31.099999999999994,8.200000000000003
86,0,86,False,9.0,31.4,8.400000000000002
87,0,87,False,9.09,31.700000000000003,8.400000000000002
88,0,88,False,8.890000000000002,30.999999999999993,8.200000000000003
89,0,89,False,8.949999999999998,31.2,8.200000000000003
90,0,90,False,8.979999999999997,31.29999999999999,8.200000000000003
91,0,91,False,9.090000000000003,31.699999999999996,8.400000000000002
