,map,x,y,theta,velocity
28,porto,0.17139297605621837,-0.004045686491549423,6.263866220746876,1.853358157562613
29,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
30,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
31,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
32,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
33,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
34,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
35,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
36,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
37,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
38,porto,0.39932372952579365,-0.013547154111430393,6.241008465617571,2.804358157562613
39,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
40,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
41,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
42,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
43,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
44,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
45,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
46,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
47,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
48,porto,0.7196639124512525,-0.03145992939260159,6.215333527517798,3.6401220360892066
49,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
50,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
51,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
52,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
53,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
54,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
55,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
56,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
57,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
58,porto,1.1083100714408338,-0.05991457517386062,6.1860156091711325,4.164185908891804
59,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
60,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
61,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
62,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
63,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
64,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
65,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
66,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
67,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
68,porto,1.5384821363188868,-0.1011711189517634,6.150894001077992,4.4854024561601875
69,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
70,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
71,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
72,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
73,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
74,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
75,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
76,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
77,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
78,porto,1.9931263152959198,-0.15742779483288932,6.118054963259498,4.681038085251844
79,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
80,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
81,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
82,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
83,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
84,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
85,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
86,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
87,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
88,porto,2.4620189163330255,-0.2258308322736204,6.112003993323579,4.798516510898415
89,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
90,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
91,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
92,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
93,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
94,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
95,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
96,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
97,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
98,porto,2.9396227116304257,-0.2992515305183512,6.129486106394944,4.867138463018967
99,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
100,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
101,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
102,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
103,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
104,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
105,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
106,porto,3.4228990880724837,-0.372862248043497,6.141161319678635,4.910737613754069
