,map,x,y,theta,velocity
0,porto,0.0,0.0,0.0,0.0
1,porto,0.0,0.0,0.0,0.0
2,porto,0.0,0.0,0.0,0.0
3,porto,0.0,0.0,0.0,0.0
4,porto,0.0,0.0,0.0,0.0
5,porto,0.0,0.0,0.0,0.0
6,porto,0.0,0.0,0.0,0.0
7,porto,0.0,0.0,0.0,0.0
8,porto,0.0,0.0,0.0,0.0
9,porto,0.0,0.0,0.0,0.0
10,porto,0.0,0.0,0.0,0.0
11,porto,0.0,0.0,0.0,0.0
12,porto,0.0,0.0,0.0,0.0
13,porto,0.0,0.0,0.0,0.0
14,porto,0.0,0.0,0.0,0.0
15,porto,0.0,0.0,0.0,0.0
16,porto,0.0,0.0,0.0,0.0
17,porto,0.0,0.0,0.0,0.0
18,porto,0.0,0.0,0.0,0.0
19,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
20,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
21,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
22,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
23,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
24,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
25,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
26,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
27,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
28,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
29,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
30,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
31,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
32,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
33,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
34,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
35,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
36,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
37,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
38,porto,0.1695618087558693,-0.0013900274920344254,6.277385726118483,1.8434649387457962
39,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
40,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
41,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
42,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
43,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
44,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
45,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
46,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
47,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
48,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
49,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
50,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
51,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
52,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
53,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
54,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
55,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
56,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
57,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
58,porto,0.6903995613783298,0.0037156786480107206,0.030578806894287998,3.2304538496353667
59,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
60,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
61,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
62,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
63,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
64,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
65,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
66,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
67,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
68,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
69,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
70,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
71,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
72,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
73,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
74,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
75,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
76,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
77,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
78,porto,1.3859053985304717,0.020676495482016066,6.255082901708748,3.678998980618026
79,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
80,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
81,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
82,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
83,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
84,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
85,porto,2.123381256035424,-0.043915487136659215,6.098622594745535,3.725121548983801
