,map,x,y,theta,velocity,progress
0,f1_esp,0.0,0.0,0.0,0.0,0.0
1,f1_esp,0.0,0.0,0.0,0.0,0.0
2,f1_esp,0.0,0.0,0.0,0.0,0.0
3,f1_esp,0.0,0.0,0.0,0.0,0.0
4,f1_esp,0.0,0.0,0.0,0.0,0.0
5,f1_esp,0.0,0.0,0.0,0.0,0.0
6,f1_esp,0.0,0.0,0.0,0.0,0.0
7,f1_esp,0.0,0.0,0.0,0.0,0.0
8,f1_esp,0.0,0.0,0.0,0.0,0.0
9,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
10,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
11,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
12,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
13,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
14,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
15,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
16,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
17,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
18,f1_esp,0.038514854762210345,0.00014874778310696325,0.0010575794754256699,0.9034499999999999,0.0
19,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
20,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
21,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
22,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
23,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
24,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
25,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
26,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
27,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
28,f1_esp,0.17163917965941916,0.0020643924638974157,0.010441146149926127,1.8544499999999995,0.04219409282700422
29,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
30,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
31,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
32,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
33,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
34,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
35,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
36,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
37,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
38,f1_esp,0.3996906234488393,0.011026259743970038,0.042069001611898235,2.805449999999999,0.16877637130801687
39,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
40,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
41,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
42,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
43,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
44,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
45,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
46,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
47,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
48,f1_esp,0.7198184285379445,0.03446020640763607,0.08310068491659674,3.6424429099808964,0.29535864978902954
49,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
50,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
51,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
52,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
53,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
54,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
55,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
56,f1_esp,1.1080449570472861,0.07049073182783164,0.09259591854085387,4.165973281670263,0.46413502109704646
