,trainEpisode,evalEpisode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,50.0,0.0,-1.54,1.9000000000000001,,1.0
0,50.0,1.0,0.6299999999999999,9.700000000000001,,1.0
0,50.0,2.0,-1.5899999999999999,1.7000000000000002,,1.0
0,50.0,3.0,-0.78,4.499999999999999,,1.0
0,50.0,4.0,-0.7099999999999997,4.8999999999999995,,1.0
0,50.0,5.0,-0.6899999999999997,4.8999999999999995,,1.0
0,50.0,6.0,-1.42,2.4000000000000004,,1.0
0,50.0,7.0,1.56,13.100000000000003,,1.0
0,50.0,8.0,1.04,11.300000000000004,,1.0
0,50.0,9.0,-1.2000000000000002,3.0,,1.0
0,100.0,0.0,11.689999999999992,49.99999999999993,,1.0
0,100.0,1.0,34.819999999999865,134.10000000000056,,1.0
0,100.0,2.0,-0.8799999999999999,4.300000000000001,,1.0
0,100.0,3.0,16.069999999999958,66.09999999999984,,1.0
0,100.0,4.0,0.11000000000000076,8.000000000000004,,1.0
0,100.0,5.0,16.11999999999997,66.29999999999986,,1.0
0,100.0,6.0,-0.01999999999999913,7.300000000000002,,1.0
0,100.0,7.0,1.5699999999999994,13.000000000000005,,1.0
0,100.0,8.0,20.099999999999955,80.49999999999999,,1.0
0,100.0,9.0,14.729999999999976,60.999999999999886,,1.0
0,150.0,0.0,4.040000000000003,22.099999999999994,,1.0
0,150.0,1.0,11.549999999999995,49.39999999999992,,1.0
0,150.0,2.0,0.47000000000000064,9.200000000000003,,1.0
0,150.0,3.0,4.120000000000002,22.599999999999998,,1.0
0,150.0,4.0,23.269999999999914,92.50000000000004,,1.0
0,150.0,5.0,9.499999999999996,42.299999999999926,,1.0
0,150.0,6.0,1.4000000000000004,12.600000000000005,,1.0
0,150.0,7.0,7.100000000000005,33.29999999999998,,1.0
0,150.0,8.0,6.250000000000007,30.199999999999992,,1.0
0,150.0,9.0,-1.48,2.2,,1.0
0,200.0,0.0,-0.26999999999999935,6.500000000000002,,1.0
0,200.0,1.0,4.6600000000000055,24.39999999999999,,1.0
0,200.0,2.0,0.3100000000000005,8.500000000000002,,1.0
0,200.0,3.0,14.299999999999994,59.09999999999992,,1.0
0,200.0,4.0,6.360000000000005,30.49999999999999,,1.0
0,200.0,5.0,12.089999999999995,51.59999999999992,,1.0
0,200.0,6.0,7.580000000000002,34.79999999999997,,1.0
0,200.0,7.0,-0.6099999999999997,5.199999999999999,,1.0
0,200.0,8.0,5.860000000000004,28.999999999999986,,1.0
0,200.0,9.0,6.460000000000008,31.099999999999973,,1.0
0,250.0,0.0,12.939999999999978,54.59999999999987,,1.0
0,250.0,1.0,1.8299999999999992,13.900000000000006,,1.0
0,250.0,2.0,46.03999999999981,175.5000000000009,,1.0
0,250.0,3.0,0.33000000000000096,8.800000000000004,,1.0
0,250.0,4.0,65.05999999999968,237.20000000000212,61.0,0.0
0,250.0,5.0,13.189999999999989,55.7999999999999,,1.0
0,250.0,6.0,10.489999999999993,45.79999999999993,,1.0
0,250.0,7.0,65.10999999999969,237.3000000000021,60.8,0.0
0,250.0,8.0,58.47999999999972,220.70000000000164,,1.0
0,250.0,9.0,65.05999999999969,237.1000000000022,60.7,0.0
0,300.0,0.0,38.43999999999982,147.40000000000086,,1.0
0,300.0,1.0,11.81999999999998,50.699999999999896,,1.0
0,300.0,2.0,10.499999999999993,45.8999999999999,,1.0
0,300.0,3.0,10.109999999999998,43.89999999999996,,1.0
0,300.0,4.0,8.769999999999994,39.29999999999996,,1.0
0,300.0,5.0,65.14999999999972,237.20000000000215,60.1,0.0
0,300.0,6.0,51.17999999999977,193.90000000000137,,1.0
0,300.0,7.0,30.369999999999905,117.90000000000029,,1.0
0,300.0,8.0,58.059999999999725,218.7000000000017,,1.0
0,300.0,9.0,24.42999999999994,96.40000000000006,,1.0
0,350.0,0.0,11.889999999999999,50.99999999999991,,1.0
0,350.0,1.0,32.9799999999999,127.30000000000045,,1.0
0,350.0,2.0,1.6400000000000001,13.500000000000009,,1.0
0,350.0,3.0,16.899999999999967,69.0999999999999,,1.0
0,350.0,4.0,2.8000000000000016,17.80000000000001,,1.0
0,350.0,5.0,2.929999999999999,18.200000000000017,,1.0
0,350.0,6.0,44.55999999999975,170.2000000000011,,1.0
0,350.0,7.0,-0.5199999999999994,5.599999999999999,,1.0
0,350.0,8.0,9.119999999999997,40.79999999999994,,1.0
0,350.0,9.0,17.83999999999996,72.29999999999988,,1.0
0,400.0,0.0,14.719999999999985,60.999999999999886,,1.0
0,400.0,1.0,9.439999999999998,41.999999999999936,,1.0
0,400.0,2.0,11.74,49.999999999999915,,1.0
0,400.0,3.0,5.310000000000002,26.59999999999999,,1.0
0,400.0,4.0,7.2400000000000055,33.99999999999998,,1.0
0,400.0,5.0,-0.3999999999999999,6.1000000000000005,,1.0
0,400.0,6.0,30.709999999999894,119.50000000000041,,1.0
0,400.0,7.0,1.5199999999999996,13.000000000000005,,1.0
0,400.0,8.0,1.3300000000000005,12.300000000000004,,1.0
0,400.0,9.0,17.43999999999998,71.29999999999987,,1.0
0,450.0,0.0,5.160000000000006,26.49999999999999,,1.0
0,450.0,1.0,8.000000000000004,36.69999999999997,,1.0
0,450.0,2.0,4.390000000000002,23.59999999999999,,1.0
0,450.0,3.0,0.9000000000000004,10.800000000000004,,1.0
0,450.0,4.0,14.259999999999984,59.39999999999986,,1.0
0,450.0,5.0,31.69999999999991,123.10000000000035,,1.0
0,450.0,6.0,8.41,38.29999999999996,,1.0
0,450.0,7.0,8.440000000000001,38.799999999999955,,1.0
