,trainEpisode,evalEpisode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,50.0,0.0,42.730000000000246,237.40000000000012,47.5,0.0
0,50.0,1.0,42.77000000000026,237.5,47.3,0.0
0,50.0,2.0,42.730000000000274,237.40000000000006,47.5,0.0
0,50.0,3.0,42.6700000000003,237.0000000000001,47.3,0.0
0,50.0,4.0,42.73000000000026,237.2,47.1,0.0
0,50.0,5.0,42.74000000000027,237.39999999999998,47.4,0.0
0,50.0,6.0,42.73000000000026,237.40000000000006,47.5,0.0
0,50.0,7.0,42.73000000000027,237.29999999999993,47.3,0.0
0,50.0,8.0,42.71000000000027,237.20000000000007,47.3,0.0
0,50.0,9.0,42.700000000000244,237.20000000000002,47.4,0.0
0,100.0,0.0,42.71000000000028,237.19999999999996,47.3,0.0
0,100.0,1.0,42.77000000000023,237.39999999999984,47.1,0.0
0,100.0,2.0,42.72000000000023,237.0999999999999,47.0,0.0
0,100.0,3.0,42.72000000000032,237.09999999999997,47.0,0.0
0,100.0,4.0,42.76000000000032,237.39999999999995,47.2,0.0
0,100.0,5.0,42.730000000000274,237.2,47.1,0.0
0,100.0,6.0,42.77000000000027,237.39999999999995,47.1,0.0
0,100.0,7.0,42.75000000000028,237.29999999999995,47.1,0.0
0,100.0,8.0,42.78000000000024,237.49999999999991,47.2,0.0
0,100.0,9.0,42.710000000000235,237.09999999999988,47.1,0.0
0,150.0,0.0,42.75000000000025,237.19999999999985,46.9,0.0
0,150.0,1.0,42.710000000000235,237.19999999999993,47.3,0.0
0,150.0,2.0,42.780000000000285,237.5,47.2,0.0
0,150.0,3.0,42.740000000000265,237.19999999999996,47.0,0.0
0,150.0,4.0,42.69000000000025,237.09999999999988,47.3,0.0
0,150.0,5.0,42.77000000000026,237.29999999999993,46.9,0.0
0,150.0,6.0,42.75000000000029,237.29999999999998,47.1,0.0
0,150.0,7.0,42.72000000000031,237.09999999999994,47.0,0.0
0,150.0,8.0,42.75000000000031,237.3,47.1,0.0
0,150.0,9.0,42.770000000000294,237.29999999999993,46.9,0.0
0,200.0,0.0,2.5099999999999962,42.0,,1.0
0,200.0,1.0,42.620000000000346,237.20000000000007,48.2,0.0
0,200.0,2.0,42.67000000000032,237.40000000000015,48.1,0.0
0,200.0,3.0,42.65000000000021,237.30000000000004,48.1,0.0
0,200.0,4.0,42.61000000000021,237.1000000000002,48.1,0.0
0,200.0,5.0,42.64000000000019,237.20000000000013,48.0,0.0
0,200.0,6.0,42.61000000000016,237.10000000000016,48.1,0.0
0,200.0,7.0,42.65000000000028,237.20000000000005,47.9,0.0
0,200.0,8.0,42.650000000000205,237.40000000000012,48.3,0.0
0,200.0,9.0,42.67000000000025,237.30000000000015,47.9,0.0
0,250.0,0.0,42.680000000000334,237.20000000000007,47.6,0.0
0,250.0,1.0,42.680000000000305,237.20000000000007,47.6,0.0
0,250.0,2.0,42.69000000000026,237.30000000000007,47.7,0.0
0,250.0,3.0,42.66000000000029,237.10000000000005,47.6,0.0
0,250.0,4.0,42.67000000000026,237.1,47.5,0.0
0,250.0,5.0,42.69000000000026,237.2,47.5,0.0
0,250.0,6.0,42.68000000000029,237.20000000000005,47.6,0.0
0,250.0,7.0,42.7200000000003,237.29999999999998,47.4,0.0
0,250.0,8.0,42.700000000000294,237.3000000000001,47.6,0.0
0,250.0,9.0,42.67000000000025,237.10000000000002,47.5,0.0
0,300.0,0.0,41.719999999999864,237.30000000000192,57.4,0.0
0,300.0,1.0,41.71000000000021,237.10000000000176,57.1,0.0
0,300.0,2.0,41.75000000000036,237.30000000000027,57.1,0.0
0,300.0,3.0,41.66000000000036,237.0000000000004,57.4,0.0
0,300.0,4.0,41.69999999999985,237.00000000000128,57.0,0.0
0,300.0,5.0,41.71000000000034,237.1000000000003,57.1,0.0
0,300.0,6.0,41.66000000000039,237.300000000001,58.0,0.0
0,300.0,7.0,41.69000000000035,237.0000000000013,57.1,0.0
0,300.0,8.0,41.660000000000046,237.10000000000232,57.6,0.0
0,300.0,9.0,41.66999999999981,237.00000000000165,57.3,0.0
0,350.0,0.0,42.60000000000028,237.50000000000003,49.0,0.0
0,350.0,1.0,42.5100000000003,237.0000000000005,48.9,0.0
0,350.0,2.0,42.5200000000001,237.1000000000004,49.0,0.0
0,350.0,3.0,42.550000000000296,237.30000000000024,49.1,0.0
0,350.0,4.0,42.56000000000034,237.30000000000052,49.0,0.0
0,350.0,5.0,42.55000000000012,237.30000000000038,49.1,0.0
0,350.0,6.0,42.540000000000134,237.20000000000047,49.0,0.0
0,350.0,7.0,42.54000000000029,237.19999999999985,49.0,0.0
0,350.0,8.0,42.57000000000034,237.40000000000055,49.1,0.0
0,350.0,9.0,42.57000000000035,237.40000000000052,49.1,0.0
0,400.0,0.0,42.59000000000024,237.00000000000028,48.1,0.0
0,400.0,1.0,42.60000000000027,237.20000000000005,48.4,0.0
0,400.0,2.0,9.589999999999984,81.19999999999997,,1.0
0,400.0,3.0,42.630000000000244,237.29999999999993,48.3,0.0
0,400.0,4.0,20.279999999999973,141.3999999999999,,1.0
0,400.0,5.0,42.580000000000204,237.00000000000017,48.2,0.0
0,400.0,6.0,42.59000000000034,237.1000000000003,48.3,0.0
0,400.0,7.0,42.6600000000003,237.30000000000015,48.0,0.0
0,400.0,8.0,19.51999999999999,136.60000000000022,,1.0
0,400.0,9.0,-1.250000000000003,21.4,,1.0
0,450.0,0.0,42.690000000000225,237.39999999999992,47.9,0.0
0,450.0,1.0,42.660000000000224,237.3000000000001,48.0,0.0
0,450.0,2.0,25.269999999999975,169.1000000000001,,1.0
0,450.0,3.0,42.61000000000027,237.00000000000009,47.9,0.0
0,450.0,4.0,42.69000000000025,237.40000000000006,47.9,0.0
0,450.0,5.0,42.65000000000028,237.2000000000001,47.9,0.0
0,450.0,6.0,42.600000000000236,237.00000000000003,48.0,0.0
0,450.0,7.0,7.449999999999989,69.8,,1.0
0,450.0,8.0,42.62000000000027,237.00000000000009,47.8,0.0
0,450.0,9.0,42.64000000000024,237.10000000000005,47.8,0.0
0,500.0,0.0,35.61000000000021,225.70000000000007,,1.0
0,500.0,1.0,26.289999999999967,174.10000000000014,,1.0
0,500.0,2.0,42.70000000000023,237.10000000000002,47.2,0.0
0,500.0,3.0,-2.829999999999999,12.400000000000002,,1.0
0,500.0,4.0,32.19000000000011,206.90000000000012,,1.0
0,500.0,5.0,13.339999999999993,102.50000000000014,,1.0
0,500.0,6.0,35.99000000000024,227.8000000000001,,1.0
