,x,y,yaw,curve,distance
0,0.48260445513867434,0.13073997047690994,-0.028222549103994205,0.0,0.0
1,0.5826049402055219,0.1279037892338435,-0.028617127597444298,-0.007888555204653439,0.1
2,0.6826002009988357,0.12498877699126257,-0.029800932793119614,-0.015779182735480287,0.2
3,0.7825850132450821,0.12191610274965275,-0.031774166492743304,-0.023673734911276383,0.30000000000000004
4,0.8825541526707272,0.1186069355094996,-0.03453714053429518,-0.03157362339529792,0.4
5,0.9825023950022372,0.11498244427128868,-0.038090239987257454,-0.03947959739407401,0.5
6,1.0824245159660788,0.1109637980355055,-0.042433871523519025,-0.04739152044930155,0.6000000000000001
7,1.1823152912887178,0.10647216580263563,-0.047568396890512454,-0.055308145959210984,0.7000000000000001
8,1.2821694966966206,0.10142871657316464,-0.05349405143385102,-0.06322689209018706,0.8
9,1.3819819079162536,0.09575461934757809,-0.06021084766897237,-0.07114361739896125,0.9
10,1.4817473006895727,0.08937104334061112,-0.0677180789351303,-0.07859223661194277,1.0
11,1.581463920832704,0.08224715440924273,-0.07459584031201187,-0.05900184799410507,1.1
12,1.6811432147902736,0.07453470408804062,-0.07951530939216782,-0.039410959629982284,1.2000000000000002
13,1.7807997674892644,0.06642885411189356,-0.08247672389384114,-0.019827590149815316,1.3
14,1.8804481638566586,0.05812476621569012,-0.08348061056748542,-0.00025295630216315743,1.4000000000000001
15,1.9801029888194388,0.04981760213431908,-0.08252744463726461,0.019315143437072076,1.5
16,2.0797788273045885,0.041702523602669045,-0.07961753448791402,0.03887895234546952,1.6
17,2.179490264239089,0.033974692355628736,-0.07475113122670256,0.05843738502371658,1.7000000000000002
18,2.2792518845499234,0.02682927012808685,-0.06792876286200897,0.07798266189559737,1.8
19,2.379078273164074,0.020461418654932038,-0.059151792634987536,0.09749695950695515,1.9000000000000001
20,2.478984014971353,0.015066299255082367,-0.04842393219619009,0.11609230645714431,2.0
21,2.578975849845939,0.010751279833765948,-0.03834216887076063,0.08538781994277596,2.1
22,2.6790307047185324,0.007290092239654,-0.03132691588869732,0.05477076365140733,2.2
23,2.779118425684981,0.004377226839627109,-0.027372804892338915,0.02421579882587553,2.3000000000000003
24,2.87920885884113,0.0017071740005658634,-0.026476995414935922,-0.0063253703460407155,2.4000000000000004
25,2.9792718502828284,-0.0010255759106491454,-0.028640280881467056,-0.0369112274528515,2.5
26,3.079277246105923,-0.004126532527137338,-0.0338673446840347,-0.06759780543428509,2.6
27,3.1791948924062607,-0.007901205482018135,-0.042166166652247615,-0.09842591994094232,2.7
28,3.2789946352796897,-0.012655104408410927,-0.053546566461044005,-0.12940803585883726,2.8000000000000003
29,3.3786463208220563,-0.018693738939435156,-0.06801786085508366,-0.1605146615506299,2.9000000000000004
30,3.478119795191516,-0.026322618230587624,-0.08558478158562209,-0.1907044604247745,3.0
31,3.577397308881003,-0.035752166016328565,-0.10341278412547084,-0.16678194211777544,3.1
32,3.6765082035806027,-0.046831828486727185,-0.11884217885892837,-0.14261664268373267,3.2
33,3.7754929940848134,-0.05932540440647351,-0.1318605952674765,-0.11834323192090597,3.3000000000000003
34,3.8743921951881317,-0.07299669254025758,-0.14246335594145007,-0.09405950039627974,3.4000000000000004
35,3.9732463216850546,-0.08760949165276936,-0.15065121289931266,-0.06983198689272015,3.5
36,4.072095888370082,-0.10292760050869902,-0.1564284833598391,-0.04570220437244012,3.6
37,4.17098141003771,-0.11871481787273651,-0.159801606782672,-0.02169310232840182,3.7
38,4.269943401482437,-0.13473494250957188,-0.16077812950393772,0.0021844608705224922,3.8000000000000003
39,4.3690223774987595,-0.15075177318389518,-0.15936611416291604,0.02592535844541964,3.9000000000000004
40,4.468258852665429,-0.16652910947090535,-0.15557536746909975,0.04795544750234532,4.0
41,4.567652780578784,-0.1819831274144228,-0.15400182798908754,-0.016610983701929958,4.1000000000000005
42,4.667050288765211,-0.19760788534630838,-0.15891766396362433,-0.081139579793744,4.2
43,4.766261044590394,-0.21403441240644985,-0.17033802087583183,-0.1461085593678895,4.3
44,4.865094715420005,-0.23189373773473526,-0.18830572484711056,-0.2118465184621449,4.4
45,4.963360968619724,-0.251816890471052,-0.21287700197255557,-0.27840605940010865,4.5
46,5.060869471555225,-0.27443489975528823,-0.24409838811581058,-0.3454245564401611,4.6000000000000005
47,5.157429891592188,-0.3003787947273312,-0.2819743003627174,-0.4119804869416296,4.7
48,5.252851896096289,-0.3302796045270692,-0.32642564249227657,-0.47647163407714965,4.800000000000001
49,5.346945152433205,-0.3647683582943895,-0.3772418018286973,-0.53656360540812,4.9
50,5.439519327560446,-0.40447608431989096,-0.434030550570131,-0.5882047582886131,5.0
51,5.530311543130863,-0.44988286247010933,-0.49334150775596597,-0.5816206764322394,5.1000000000000005
52,5.6187840769412745,-0.5008968920863831,-0.5527756157466062,-0.5835115302349844,5.2
53,5.704334129542491,-0.5572909632265237,-0.6130171299740133,-0.5934702746683354,5.300000000000001
54,5.786358901485319,-0.6188378659483408,-0.6747304554483524,-0.611217872564713,5.4
55,5.8642555933205704,-0.685310390309645,-0.7385637373528325,-0.636518482280435,5.5
56,5.937421405599053,-0.7564813263682478,-0.805146289899525,-0.6690640601845295,5.6000000000000005
57,6.005253538871577,-0.8321234641819586,-0.8750776058069576,-0.7083194081592873,5.7
58,6.06714919368895,-0.9120095938085889,-0.9489053527425068,-0.7533227874214808,5.800000000000001
59,6.12250557060198,-0.9959125053059479,-1.0270898840929914,-0.8024507163922029,5.9
60,6.170725659125334,-1.083603510329507,-1.1094452612813173,-0.8234588506541244,6.0
